listing_id,title,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location,property_type,status,listing_type,agent,url,scraped_at
3927058,5 Bed Townhouse with En Suite at Kyuna Road,"KSh 375,000/ month",5 Bedrooms,6 Bathrooms,,"Kyuna, Westlands",Townhouse,,rent,townhouse located in a gated community of only...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-kyuna-3927058,2026-03-05 17:07
3926747,6 Bed Townhouse with En Suite at Lavington Green,"KSh 440,000/ month",6 Bedrooms,6 Bathrooms,,,Townhouse,,rent,An executive 6 bedrooms townhouse for rent in L...,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-lavington-3926747,2026-03-05 17:07
3927022,2 Bed House with En Suite in Kitisuru,"KSh 277,350/ month",2 Bedrooms,2 Bathrooms,,"Kitisuru, Westlands",House,,rent,FOR RENT: KITISURU TWO-BEDROOM UNFURNISHED COTT...,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-kitisuru-3927022,2026-03-05 17:07
3926974,5 Bed House with En Suite in Kitisuru,"KSh 671,000/ month",5 Bedrooms,5 Bathrooms,,"Bedroom Kitisuru, Westlands",House,,rent,For Rent: Kitisuru House | Five-Bedroom,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3926974,2026-03-05 17:07
3926966,5 Bed Townhouse with En Suite in Lavington,"KSh 360,000/ month",5 Bedrooms,5 Bathrooms,,,Townhouse,,rent,FOR RENT: Lavington – Five-Bedroom Townhouse,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3926966,2026-03-05 17:07
3926964,2 Bed House with En Suite in Kitisuru,"KSh 300,000/ month",2 Bedrooms,2 Bathrooms,,"Kitisuru, Westlands",House,,rent,🏡 Kitisuru – Two-Bedroom Furnished Cottage for...,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-kitisuru-3926964,2026-03-05 17:07
3923122,3 Bed House with En Suite in Runda,"KSh 360,000/ month",3 Bedrooms,3 Bathrooms,,"Bedroom House for Rent Runda, Westlands",House,,rent,Runda – Three-Bedroom House for Rent,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3923122,2026-03-05 17:07
3923164,4 Bed House with En Suite in Runda,"KSh 580,500/ month",4 Bedrooms,4 Bathrooms,,"Bedroom House with Garden for Rent Runda, Westlands",House,,rent,Runda – Four-Bedroom House with Garden for Rent,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3923164,2026-03-05 17:07
3923325,4 Bed Townhouse with En Suite in Rosslyn,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,"Bedroom Townhouse Rosslyn, Westlands",Townhouse,,rent,FOR RENT: Rosslyn – Four-Bedroom Townhouse,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-rosslyn-3923325,2026-03-05 17:07
3923313,4 Bed Townhouse with En Suite in Runda,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,"Runda, Kiambu",Townhouse,,rent,"FOR RENT: Runda, Kiambu – Four-Bedroom House",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3923313,2026-03-05 17:07
3926938,4 Bed House with En Suite at Lavington,"KSh 130,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,New Three bedroom all ensuite+dsq for rent in L...,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3926938,2026-03-05 17:07
3926940,5 Bed House with En Suite in Karen,"KSh 460,000/ month",5 Bedrooms,4 Bathrooms,,,House,,rent,Karen – Five-Bedroom Unfurnished House for Rent,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3926940,2026-03-05 17:07
3926935,4 Bed House with En Suite in Kiambu Road,"KSh 150,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,🏡 FOR RENT: 4-Bedroom House + 2-Bedroom DSQ –...,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3926935,2026-03-05 17:07
3926929,5 Bed House with En Suite in Karen,"KSh 490,000/ month",5 Bedrooms,5 Bathrooms,,,House,,rent,FOR RENT: 5-Bedroom Furnished House – Karen,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3926929,2026-03-05 17:07
3926882,4 Bed House with En Suite in Kiambu Road,"KSh 200,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,FOR RENT: 4-Bedroom House – Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3926882,2026-03-05 17:07
3926879,5 Bed House with En Suite in Karen,"KSh 450,000/ month",5 Bedrooms,5 Bathrooms,,,House,,rent,For Rent: Five-Bedroom Charming Cottage – Karen,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3926879,2026-03-05 17:07
3926876,6 Bed House with En Suite in Gigiri,"KSh 750,000/ month",6 Bedrooms,6 Bathrooms,,"Gigiri, Westlands",House,,rent,FOR RENT: 6-Bedroom House + 3-Bedroom Guest Win...,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-gigiri-3926876,2026-03-05 17:07
3926872,4 Bed House with En Suite in Runda,"KSh 451,745/ month",4 Bedrooms,4 Bathrooms,,"Runda, Westlands",House,,rent,For Rent: Four-Bedroom House – Runda Kiambu Roa...,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3926872,2026-03-05 17:07
3926859,2 Bed House with En Suite in Kitengela,"KSh 110,000/ month",2 Bedrooms,2 Bathrooms,,,House,,rent,🏡 FOR RENT: 4-Bedroom All En-suite + 2-Bedroom...,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-kitengela-3926859,2026-03-05 17:07
3926851,4 Bed Villa with En Suite in Kiambu Road,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,,Villa,,rent,🏡 FOR RENT: 4-Bedroom Villa + Family Room – Ki...,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kiambu-road-3926851,2026-03-05 17:07
3925713,4 Bed House with En Suite in Karen,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,"Spacious 4-Bedroom Home for Rent in Windridge,...",https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3925713,2026-03-05 17:07
3922906,6 Bed House with En Suite in Gigiri,"KSh 750,000/ month",6 Bedrooms,6 Bathrooms,,"Bedroom Standalone House in Gigiri Gigiri, Westlands",House,,rent,Spacious 6-Bedroom Standalone House in Gigiri,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-gigiri-3922906,2026-03-05 17:08
3926800,1 Bed House with En Suite in Karen,"KSh 90,000/ month",1 Bedrooms,1 Bathrooms,,,House,,rent,Fully Furnished One-Bedroom Apartment in Karen,https://www.buyrentkenya.com/listings/furnished-1-bedroom-house-for-rent-karen-3926800,2026-03-05 17:08
3926787,5 Bed House with En Suite at Thigiri,"KSh 350,000/ month",5 Bedrooms,4 Bathrooms,,"Thigiri, Westlands",House,,rent,Elegant 5 Bedroom Standalone House with Guest H...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-thigiri-3926787,2026-03-05 17:08
3926793,5 Bed House in Karen,"KSh 250,000/ month",5 Bedrooms,,,,House,,rent,Karen rental,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3926793,2026-03-05 17:08
3848139,4 Bed Villa with En Suite in Kiambu Road,"KSh 360,000/ month",4 Bedrooms,5 Bathrooms,356 m²,,Villa,,rent,A LUXURIOUS FOUR BEDROOM MODERN VILLA IN A GATE...,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kiambu-road-3848139,2026-03-05 17:08
