listing_id,title,price_kes,bedrooms,bathrooms,size_sqm,property_type,neighbourhood,county,listing_type,is_sale,is_nairobi,total_rooms,price_per_sqm,bedroom_category,url,scraped_at,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location
3937489,5 Bed Villa with En Suite at Runda,450000.0,5.0,5.0,5.0,Villa,Runda,Westlands,rent,0,1,10.0,90000.0,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-runda-3937489,2026-03-05 17:04,"KSh 450,000/ month",5 Bedrooms,5 Bathrooms,"0,5 ac","Runda, Westlands"
3937463,4 Bed House with En Suite in Kitisuru,400000.0,4.0,4.0,,House,Kitisuru,Westlands,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3937463,2026-03-05 17:04,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,,"Kitisuru, Westlands"
3937458,4 Bed House with En Suite in Loresho,646000.0,4.0,4.0,,House,Bedroom Loresho,Westlands,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-loresho-3937458,2026-03-05 17:04,"KSh 646,000/ month",4 Bedrooms,4 Bathrooms,,"BEDROOM Loresho, Westlands"
3937422,4 Bed Townhouse at Golden Gate,80000.0,4.0,,,Townhouse,Golden Gate,,rent,0,0,4.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-south-b-3937422,2026-03-05 17:04,"KSh 80,000/ month",4 Bedrooms,,,
3937393,4 Bed Townhouse with En Suite at Spring Valley,250000.0,4.0,4.0,,Townhouse,Spring Valley,,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3937393,2026-03-05 17:04,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,,"BEDROOM TOWNHOUSE FOR RENT Spring Valley, Westlands"
3937348,3 Bed House with En Suite at Runda,200000.0,3.0,,,House,Runda,Westlands,rent,0,1,3.0,,3 Bed,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-runda-3937348,2026-03-05 17:04,"KSh 200,000/ month",3 Bedrooms,,,"Runda, Westlands"
3932758,5 Bed House with En Suite in Runda,450000.0,5.0,5.0,,House,Runda Runda,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3932758,2026-03-05 17:04,"KSh 450,000/ month",5 Bedrooms,5 Bathrooms,,"Runda Runda, Westlands"
3932801,5 Bed House with En Suite in Runda,500000.0,5.0,5.0,,House,Runda Runda,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3932801,2026-03-05 17:04,"KSh 500,000/ month",5 Bedrooms,5 Bathrooms,,"Runda Runda, Westlands"
3933326,1 Bed House with En Suite in Runda,129000.0,1.0,1.0,,House,Runda,Westlands,rent,0,1,2.0,,1 Bed,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-runda-3933326,2026-03-05 17:04,"KSh 129,000/ month",1 Bedrooms,1 Bathrooms,,"Runda, Westlands"
3935145,5 Bed House with En Suite in Lavington,695000.0,5.0,5.0,,House,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3935145,2026-03-05 17:04,"KSh 695,000/ month",5 Bedrooms,5 Bathrooms,,
3935204,4 Bed House with En Suite in Kiambu Road,200000.0,4.0,4.0,,House,Kiambu Road,,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3935204,2026-03-05 17:04,"KSh 200,000/ month",4 Bedrooms,4 Bathrooms,,
3935220,5 Bed House with En Suite in Spring Valley,260000.0,5.0,4.0,,House,Spring Valley,Westlands,rent,0,1,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-spring-valley-3935220,2026-03-05 17:04,"KSh 260,000/ month",5 Bedrooms,4 Bathrooms,,"Spring Valley, Westlands"
3935694,5 Bed House with En Suite in Ridgeways,646000.0,5.0,5.0,,House,Ridgeways,,rent,0,0,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-ridgeways-3935694,2026-03-05 17:04,"KSh 646,000/ month",5 Bedrooms,5 Bathrooms,,
3935808,5 Bed House with En Suite in Loresho,644750.0,5.0,5.0,,House,Loresho Loresho,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-loresho-3935808,2026-03-05 17:04,"KSh 644,750/ month",5 Bedrooms,5 Bathrooms,,"Loresho Loresho, Westlands"
3935839,5 Bed House with En Suite in Spring Valley,260000.0,5.0,5.0,,House,Dsq Spring Valley,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-spring-valley-3935839,2026-03-05 17:04,"KSh 260,000/ month",5 Bedrooms,5 Bathrooms,,"DSQ Spring Valley, Westlands"
3936036,2 Bed House with En Suite in Runda,180000.0,2.0,2.0,,House,Bedroom Runda,Westlands,rent,0,1,4.0,,2 Bed,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-runda-3936036,2026-03-05 17:04,"KSh 180,000/ month",2 Bedrooms,2 Bathrooms,,"BEDROOM Runda, Westlands"
3936628,5 Bed House with En Suite in Runda,430000.0,5.0,5.0,,House,Bedroom Runda,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3936628,2026-03-05 17:04,"KSh 430,000/ month",5 Bedrooms,5 Bathrooms,,"BEDROOM Runda, Westlands"
3936918,5 Bed House with En Suite in Ridgeways,646000.0,5.0,5.0,,House,Ridgeways,,rent,0,0,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-ridgeways-3936918,2026-03-05 17:04,"KSh 646,000/ month",5 Bedrooms,5 Bathrooms,,
3937275,5 Bed Townhouse with En Suite in Lavington,420000.0,5.0,5.0,,Townhouse,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3937275,2026-03-05 17:04,"KSh 420,000/ month",5 Bedrooms,5 Bathrooms,,
3937230,4 Bed Townhouse with En Suite in Runda,412000.0,4.0,4.0,,Townhouse,Runda,Westlands,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3937230,2026-03-05 17:04,"KSh 412,000/ month",4 Bedrooms,4 Bathrooms,,"Runda, Westlands"
3937163,4 Bed House with En Suite in Lower Kabete,646000.0,4.0,4.0,,House,Lower Kabete,Westlands,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lower-kabete-3937163,2026-03-05 17:04,"KSh 646,000/ month",4 Bedrooms,4 Bathrooms,,"Lower Kabete, Westlands"
3937215,2 Bed House with En Suite in Kyuna,150000.0,2.0,2.0,,House,Kyuna,Westlands,rent,0,0,4.0,,2 Bed,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-kyuna-3937215,2026-03-05 17:04,"KSh 150,000/ month",2 Bedrooms,2 Bathrooms,,"Kyuna, Westlands"
3937069,4 Bed House with En Suite in Thigiri,450000.0,4.0,4.0,,House,Thigiri,Westlands,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-thigiri-3937069,2026-03-05 17:04,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,,"Thigiri, Westlands"
